District Code,DistrictName,School Code,SchoolName,grade span (Oct16),Highest Grade (Oct16),School Category in 2016-17,Students - 10/1/2016,Students In Poverty,Poverty - 10/1/2016,Eligibility as Challenging School for School Year 2017-18
2420,Asotin-Anatone,2434,Asotin Jr Sr High,6-12,12,High,381,108,28.35%,Not eligible - Poverty below threshold
17408,Auburn,3825,Alpac Elementary School,PK-5,5,Elementary,583,337,57.80%,Not eligible - Poverty below threshold
17408,Auburn,5082,Arthur Jacobsen Elementary,K-5,5,Elementary,575,269,46.78%,Not eligible - Poverty below threshold
17408,Auburn,5037,Auburn Mountainview High School,9-12,12,High,"1,516",607,40.04%,Not eligible - Poverty below threshold
17408,Auburn,4474,Auburn Riverside High School,9-12,12,High,"1,637",623,38.06%,Not eligible - Poverty below threshold
17408,Auburn,2795,Auburn Senior High School,9-12,12,High,"1,695","1,029",60.71%,Challenging School
17408,Auburn,2394,Cascade Middle School,6-8,8,Middle,726,429,59.09%,Not eligible - Poverty below threshold
17408,Auburn,3439,Chinook Elementary School,PK-5,5,Elementary,507,351,69.23%,Not eligible - Poverty below threshold
17408,Auburn,2932,Dick Scobee Elementary School,PK-5,5,Elementary,534,400,74.91%,Challenging School
17408,Auburn,3745,Evergreen Heights Elementary,K-5,5,Elementary,507,229,45.17%,Not eligible - Poverty below threshold
17408,Auburn,3669,Gildo Rey Elementary School,PK-5,5,Elementary,617,471,76.34%,Challenging School
17408,Auburn,4347,Hazelwood Elementary School,K-5,5,Elementary,561,261,46.52%,Not eligible - Poverty below threshold
17408,Auburn,4417,Ilalko Elementary School,K-5,5,Elementary,609,329,54.02%,Not eligible - Poverty below threshold
17408,Auburn,4120,Lake View Elementary School,PK-5,5,Elementary,420,176,41.90%,Not eligible - Poverty below threshold
17408,Auburn,5051,Lakeland Hills Elementary,K-5,5,Elementary,725,163,22.48%,Not eligible - Poverty below threshold
17408,Auburn,3525,Lea Hill Elementary School,PK-5,5,Elementary,452,266,58.85%,Not eligible - Poverty below threshold
17408,Auburn,4462,Mt Baker Middle School,6-8,8,Middle,"1,002",499,49.80%,Not eligible - Poverty below threshold
17408,Auburn,3169,Olympic Middle School,6-8,8,Middle,766,565,73.76%,Challenging School
17408,Auburn,3227,Pioneer Elementary School,PK-5,5,Elementary,502,431,85.86%,Challenging School
17408,Auburn,4385,Rainier Middle School,6-8,8,Middle,899,430,47.83%,Not eligible - Poverty below threshold
17408,Auburn,1915,Special Ed School,PK-12,12,High,120,25,20.83%,Not eligible - Poverty below threshold
17408,Auburn,2659,Terminal Park Elementary School,K-5,5,Elementary,481,346,71.93%,Challenging School
17408,Auburn,2326,Washington Elementary School,K-5,5,Elementary,523,392,74.95%,Challenging School
17408,Auburn,2702,West Auburn Senior High School,9-12,12,High,198,112,56.57%,Challenging School
18303,Bainbridge Island,2395,Bainbridge High School,9-12,12,High,"1,306",96,7.35%,Not eligible - Poverty below threshold
18303,Bainbridge Island,1939,Bainbridge Special Education Services,PK-12,12,High,23,0,0.00%,Not eligible - Poverty below threshold
18303,Bainbridge Island,3552,Capt Johnston Blakely Elem Sch,K-4,4,Elementary,342,16,4.68%,Not eligible - Poverty below threshold
18303,Bainbridge Island,3043,Capt. Charles Wilkes Elem School,PK-4,4,Elementary,394,15,3.81%,Not eligible - Poverty below threshold
18303,Bainbridge Island,1935,Eagle Harbor High School,9-12,12,High,113,9,7.96%,Not eligible - Poverty below threshold
18303,Bainbridge Island,1841,Mosaic Home Education Partnership,K-8,8,Middle,53,9,16.98%,Not eligible - Poverty below threshold
18303,Bainbridge Island,1699,Odyssey Multiage Program,1-8,8,Middle,125,7,5.60%,Not eligible - Poverty below threshold
18303,Bainbridge Island,4062,Ordway Elementary,PK-4,4,Elementary,374,48,12.83%,Not eligible - Poverty below threshold
18303,Bainbridge Island,4542,Sakai Intermediate,5-6,6,Elementary,549,45,8.20%,Not eligible - Poverty below threshold
18303,Bainbridge Island,4505,Woodward Middle School,7-8,8,Middle,604,53,8.77%,Not eligible - Poverty below threshold
6119,Battle Ground,2671,Amboy Middle School,5-8,8,Middle,579,214,36.96%,Not eligible - Poverty below threshold
6119,Battle Ground,2415,Battle Ground High School,9-12,12,High,"2,190",672,30.68%,Not eligible - Poverty below threshold
6119,Battle Ground,1836,CAM Academy,3-12,12,High,556,88,15.83%,Not eligible - Poverty below threshold
6119,Battle Ground,4352,Captain Strong,PK-4,4,Elementary,715,284,39.72%,Not eligible - Poverty below threshold
6119,Battle Ground,5133,Chief Umtuch Middle,5-8,8,Middle,580,224,38.62%,Not eligible - Poverty below threshold
6119,Battle Ground,5089,Daybreak Middle,5-8,8,Middle,481,196,40.75%,Not eligible - Poverty below threshold
6119,Battle Ground,5090,Daybreak Primary,PK-4,4,Elementary,515,221,42.91%,Not eligible - Poverty below threshold
6119,Battle Ground,3018,Glenwood Heights Primary,PK-4,4,Elementary,724,280,38.67%,Not eligible - Poverty below threshold
6119,Battle Ground,1875,Homelink River,K-12,12,High,955,246,25.76%,Not eligible - Poverty below threshold
6119,Battle Ground,3545,Laurin Middle School,5-8,8,Middle,625,246,39.36%,Not eligible - Poverty below threshold
6119,Battle Ground,5291,Maple Grove K-8,K-8,8,Middle,490,236,48.16%,Not eligible - Poverty below threshold
6119,Battle Ground,5360,Open Doors Battle Ground,9-12,12,High,14,8,57.14%,Not eligible - Less than 30 students
6119,Battle Ground,3997,Pleasant Valley Middle,5-8,8,Middle,511,173,33.86%,Not eligible - Poverty below threshold
6119,Battle Ground,3996,Pleasant Valley Primary,PK-4,4,Elementary,596,220,36.91%,Not eligible - Poverty below threshold
6119,Battle Ground,4104,Prairie High School,9-12,12,High,"1,555",455,29.26%,Not eligible - Poverty below threshold
6119,Battle Ground,4108,Preschool Infant Other,PK-PK,PK,Elementary,44,15,34.09%,Not eligible - Poverty below threshold
6119,Battle Ground,4450,Summit View High School,7-12,12,High,349,159,45.56%,Not eligible - Poverty below threshold
6119,Battle Ground,5382,Summit View Middle School,7-8,8,Middle,12,7,58.33%,Not eligible - Poverty below threshold
6119,Battle Ground,5131,Tukes Valley Middle School,5-8,8,Middle,499,170,34.07%,Not eligible - Poverty below threshold
6119,Battle Ground,5132,Tukes Valley Primary ,PK-4,4,Elementary,638,213,33.39%,Not eligible - Poverty below threshold
6119,Battle Ground,2910,Yacolt Primary,PK-4,4,Elementary,826,349,42.25%,Not eligible - Poverty below threshold
17405,Bellevue,3633,Ardmore Elementary School,K-5,5,Elementary,446,183,41.03%,Not eligible - Poverty below threshold
17405,Bellevue,5240,Bellevue Big Picture School,6-12,12,High,365,54,14.79%,Not eligible - Poverty below threshold
17405,Bellevue,2701,Bellevue High School,9-12,12,High,"1,633",172,10.53%,Not eligible - Poverty below threshold
17405,Bellevue,3705,Bennett Elementary School,K-5,5,Elementary,418,27,6.46%,Not eligible - Poverty below threshold
17405,Bellevue,5281,Central Educational Services,PK-12,12,High,83,17,20.48%,Not eligible - Poverty below threshold
17405,Bellevue,3742,Cherry Crest Elementary School,K-5,5,Elementary,564,15,2.66%,Not eligible - Poverty below threshold
17405,Bellevue,3338,Chinook Middle School,6-8,8,Middle,978,121,12.37%,Not eligible - Poverty below threshold
17405,Bellevue,2847,Clyde Hill Elementary,K-5,5,Elementary,666,30,4.50%,Not eligible - Poverty below threshold
17405,Bellevue,3036,Eastgate Elementary School,K-5,5,Elementary,448,65,14.51%,Not eligible - Poverty below threshold
17405,Bellevue,2846,Enatai Elementary School,K-5,5,Elementary,592,103,17.40%,Not eligible - Poverty below threshold
17405,Bellevue,5325,Grad Alliance Program,11-12,12,High,9,2,22.22%,Not eligible - Poverty below threshold
17405,Bellevue,3166,Highland Middle School,6-8,8,Middle,501,218,43.51%,Not eligible - Poverty below threshold
17405,Bellevue,3588,Interlake Senior High School,9-12,12,High,"1,653",423,25.59%,Not eligible - Poverty below threshold
17405,Bellevue,3522,International School,6-12,12,High,578,37,6.40%,Not eligible - Poverty below threshold
17405,Bellevue,5308,Jing Mei Elementary School,K-4,4,Elementary,328,12,3.66%,Not eligible - Poverty below threshold
17405,Bellevue,3225,Lake Hills Elementary,K-5,5,Elementary,515,282,54.76%,Not eligible - Poverty below threshold
17405,Bellevue,3436,Medina Elementary School,K-5,5,Elementary,543,9,1.66%,Not eligible - Poverty below threshold
17405,Bellevue,3437,Newport Heights Elementary,K-5,5,Elementary,622,125,20.10%,Not eligible - Poverty below threshold
17405,Bellevue,3486,Newport Senior High School,9-12,12,High,"1,790",249,13.91%,Not eligible - Poverty below threshold
17405,Bellevue,3631,Odle Middle School,6-8,8,Middle,964,207,21.47%,Not eligible - Poverty below threshold
17405,Bellevue,3168,Phantom Lake Elementary,PK-5,5,Elementary,398,122,30.65%,Not eligible - Poverty below threshold
17405,Bellevue,3224,Puesta del Sol Elementary School,K-5,5,Elementary,572,40,6.99%,Not eligible - Poverty below threshold
17405,Bellevue,3282,Sammamish Senior High,9-12,12,High,"1,059",384,36.26%,Not eligible - Poverty below threshold
17405,Bellevue,3339,Sherwood Forest Elementary,K-5,5,Elementary,436,210,48.17%,Not eligible - Poverty below threshold
17405,Bellevue,3789,Somerset Elementary School,K-5,5,Elementary,722,38,5.26%,Not eligible - Poverty below threshold
17405,Bellevue,3634,Spiritridge Elementary School,K-5,5,Elementary,674,61,9.05%,Not eligible - Poverty below threshold
17405,Bellevue,3100,Stevenson Elementary,K-5,5,Elementary,576,243,42.19%,Not eligible - Poverty below threshold
17405,Bellevue,3435,Tillicum Middle School,6-8,8,Middle,654,102,15.60%,Not eligible - Poverty below threshold
17405,Bellevue,3283,Tyee Middle School,6-8,8,Middle,"1,001",128,12.79%,Not eligible - Poverty below threshold
17405,Bellevue,3167,Woodridge Elementary,K-5,5,Elementary,653,116,17.76%,Not eligible - Poverty below threshold
37501,Bellingham,3200,Alderwood Elementary School,K-5,5,Elementary,234,199,85.04%,Challenging School
37501,Bellingham,5366,Bellingham Family Partnership Program,K-8,8,Middle,159,27,16.98%,Not eligible - Poverty below threshold
37501,Bellingham,2553,Bellingham High School,9-12,12,High,"1,081",324,29.97%,Not eligible - Poverty below threshold
37501,Bellingham,5340,Bellingham Re-Engagement Program,11-12,12,High,80,48,60.00%,Challenging School
37501,Bellingham,2431,Birchwood Elementary School,PK-5,5,Elementary,331,228,68.88%,Not eligible - Poverty below threshold
37501,Bellingham,2817,Carl Cozier Elementary School,PK-5,5,Elementary,295,170,57.63%,Not eligible - Poverty below threshold
37501,Bellingham,2365,Columbia Elementary School,K-5,5,Elementary,287,56,19.51%,Not eligible - Poverty below threshold
37501,Bellingham,5239,Cordata Elementary School,PK-5,5,Elementary,427,278,65.11%,Not eligible - Poverty below threshold
37501,Bellingham,2066,Fairhaven Middle School,6-8,8,Middle,631,124,19.65%,Not eligible - Poverty below threshold
37501,Bellingham,2262,Geneva Elementary School,PK-5,5,Elementary,462,124,26.84%,Not eligible - Poverty below threshold
37501,Bellingham,3134,Happy Valley Elementary School,PK-5,5,Elementary,432,135,31.25%,Not eligible - Poverty below threshold
37501,Bellingham,1694,Home Port Learning Center,9-12,12,High,8,6,75.00%,Not eligible - Less than 30 students
37501,Bellingham,4442,Kulshan Middle School,6-8,8,Middle,544,238,43.75%,Not eligible - Poverty below threshold
37501,Bellingham,2225,Lowell Elementary School ,K-5,5,Elementary,305,71,23.28%,Not eligible - Poverty below threshold
37501,Bellingham,4571,Northern Heights Elementary Schl,PK-5,5,Elementary,376,121,32.18%,Not eligible - Poverty below threshold
37501,Bellingham,1647,Options High School,9-12,12,High,104,68,65.38%,Challenging School
37501,Bellingham,3202,Parkview Elementary School,PK-5,5,Elementary,295,110,37.29%,Not eligible - Poverty below threshold
37501,Bellingham,2067,Roosevelt Elementary School,PK-5,5,Elementary,398,216,54.27%,Not eligible - Poverty below threshold
37501,Bellingham,3576,Sehome High School,9-12,12,High,"1,188",268,22.56%,Not eligible - Poverty below threshold
37501,Bellingham,3201,Shuksan Middle School,6-8,8,Middle,648,399,61.57%,Challenging School
37501,Bellingham,2175,Silver Beach Elementary School,PK-5,5,Elementary,457,84,18.38%,Not eligible - Poverty below threshold
37501,Bellingham,4515,Squalicum High School,9-12,12,High,"1,361",589,43.28%,Not eligible - Poverty below threshold
37501,Bellingham,2387,Sunnyland Elementary School,PK-5,5,Elementary,306,156,50.98%,Not eligible - Poverty below threshold
37501,Bellingham,1799,Visions (Seamar Youth Center),8-12,12,High,28,9,32.14%,Not eligible - Poverty below threshold
37501,Bellingham,5125,Wade King Elementary School,K-5,5,Elementary,419,78,18.62%,Not eligible - Poverty below threshold
37501,Bellingham,2075,Whatcom Middle School,6-8,8,Middle,682,181,26.54%,Not eligible - Poverty below threshold
1122,Benge,3142,Benge Elementary,K-6,6,Elementary,13,0,0.00%,Not eligible - Poverty below threshold
27403,Bethel,5372,Acceleration Academy,10-12,12,High,227,126,55.51%,Challenging School
27403,Bethel,2807,Bethel High School,9-12,12,High,"1,673",868,51.88%,Challenging School
27403,Bethel,3250,Bethel Middle School,6-8,8,Middle,657,398,60.58%,Challenging School
27403,Bethel,4296,Camas Prairie Elementary,K-5,5,Elementary,607,342,56.34%,Not eligible - Poverty below threshold
27403,Bethel,4186,Cedarcrest Middle School,6-8,8,Middle,613,403,65.74%,Challenging School
27403,Bethel,4331,Centennial Elementary Bethel,K-5,5,Elementary,485,293,60.41%,Not eligible - Poverty below threshold
27403,Bethel,1510,Challenger High School,9-12,12,High,262,181,69.08%,Challenging School
27403,Bethel,3649,Chester H Thompson Elementary,K-5,5,Elementary,578,408,70.59%,Challenging School
27403,Bethel,2576,Clover Creek Elementary,PK-5,5,Elementary,737,364,49.39%,Not eligible - Poverty below threshold
27403,Bethel,4578,Cougar Mountain Middle School,6-8,8,Middle,597,301,50.42%,Not eligible - Poverty below threshold
27403,Bethel,2877,Elk Plain School of Choice,K-8,8,Middle,600,187,31.17%,Not eligible - Poverty below threshold
27403,Bethel,4099,Evergreen Elementary,PK-5,5,Elementary,521,335,64.30%,Not eligible - Poverty below threshold
27403,Bethel,5159,Frederickson Elementary,PK-5,5,Elementary,651,313,48.08%,Not eligible - Poverty below threshold
27403,Bethel,4407,Frontier Middle School,6-8,8,Middle,709,288,40.62%,Not eligible - Poverty below threshold
27403,Bethel,4297,Graham Elementary,K-5,5,Elementary,710,271,38.17%,Not eligible - Poverty below threshold
27403,Bethel,5033,Graham Kapowsin High School,9-12,12,High,"1,951",836,42.85%,Not eligible - Poverty below threshold
27403,Bethel,2748,Kapowsin Elementary,K-5,5,Elementary,417,192,46.04%,Not eligible - Poverty below threshold
27403,Bethel,5206,Liberty Middle School,6-8,8,Middle,698,310,44.41%,Not eligible - Poverty below threshold
27403,Bethel,4102,Naches Trail Elementary,K-5,5,Elementary,579,289,49.91%,Not eligible - Poverty below threshold
27403,Bethel,5160,Nelson Elementary School,PK-5,5,Elementary,545,215,39.45%,Not eligible - Poverty below threshold
27403,Bethel,4538,North Star Elementary,K-5,5,Elementary,468,247,52.78%,Not eligible - Poverty below threshold
27403,Bethel,5961,Pierce County Skills Center,9-12,12,High,38,9,23.68%,Not eligible - Poverty below threshold
27403,Bethel,4381,Pioneer Valley Elementary,PK-5,5,Elementary,456,196,42.98%,Not eligible - Poverty below threshold
27403,Bethel,4227,Rocky Ridge Elementary,K-5,5,Elementary,482,303,62.86%,Not eligible - Poverty below threshold
27403,Bethel,2543,Roy Elementary,K-5,5,Elementary,312,174,55.77%,Not eligible - Poverty below threshold
27403,Bethel,4103,Shining Mountain Elementary,K-5,5,Elementary,741,443,59.78%,Not eligible - Poverty below threshold
27403,Bethel,2399,Spanaway Elementary,K-5,5,Elementary,361,262,72.58%,Challenging School
27403,Bethel,4158,Spanaway Lake High School,9-12,12,High,"1,584",987,62.31%,Challenging School
27403,Bethel,3751,Spanaway Middle School,6-8,8,Middle,680,473,69.56%,Challenging School
27403,Bethel,1560,Thompson Preschool,PK-PK,PK,Elementary,267,129,48.31%,Not eligible - Poverty below threshold
20203,Bickleton,3392,Bickleton Elementary & High Schl,K-12,12,High,95,11,11.58%,Not eligible - Poverty below threshold
37503,Blaine,2713,Blaine Elementary School,3-5,5,Elementary,491,221,45.01%,Not eligible - Poverty below threshold
37503,Blaine,3136,Blaine High School,9-12,12,High,704,316,44.89%,Not eligible - Poverty below threshold
37503,Blaine,5021,Blaine Home Connections,K-11,11,High,78,6,7.69%,Not eligible - Poverty below threshold
37503,Blaine,3796,Blaine Middle School,6-8,8,Middle,470,239,50.85%,Not eligible - Poverty below threshold
37503,Blaine,4476,Blaine Primary School,PK-2,2,Elementary,500,247,49.40%,Not eligible - Poverty below threshold
37503,Blaine,4459,Point Roberts Primary,K-3,3,Elementary,14,2,14.29%,Not eligible - Poverty below threshold
21234,Boistfort,2516,Boistfort Elem,PK-8,8,Middle,102,62,60.78%,Challenging School
18100,Bremerton,3641,Armin Jahr Elementary,PK-5,5,Elementary,428,321,75.00%,Challenging School
18100,Bremerton,3109,Bremerton High School,9-12,12,High,"1,223",715,58.46%,Challenging School
18100,Bremerton,1749,Bremerton Home Link Program,K-8,8,Middle,37,23,62.16%,Challenging School
18100,Bremerton,5395,Career & Academic Re-engagement Center,11-12,12,High,55,34,61.82%,Challenging School
18100,Bremerton,3108,Crownhill Elementary School,PK-5,5,Elementary,424,243,57.31%,Not eligible - Poverty below threshold
18100,Bremerton,4421,Kitsap Lake Elementary,K-5,5,Elementary,423,188,44.44%,Not eligible - Poverty below threshold
18100,Bremerton,4441,Mountain View Middle School,6-8,8,Middle,828,519,62.68%,Challenging School
18100,Bremerton,3171,Naval Avenue Elementary School,PK-3,3,Elementary,366,222,60.66%,Not eligible - Poverty below threshold
18100,Bremerton,1737,Renaissance Alternative High School,9-12,12,High,134,102,76.12%,Challenging School
18100,Bremerton,5161,Special Services,PK-PK,PK,Elementary,39,16,41.03%,Not eligible - Poverty below threshold
18100,Bremerton,2853,View Ridge Elementary School,PK-5,5,Elementary,453,277,61.15%,Not eligible - Poverty below threshold
18100,Bremerton,2613,West Hills S.T.E.M. Academy,PK-8,8,Middle,651,450,69.12%,Challenging School
18100,Bremerton,4038,West Sound Technical Skills Center,11-12,12,High,91,32,35.16%,Not eligible - Poverty below threshold
24111,Brewster,5272,Brewster Alternative School,10-12,12,High,17,15,88.24%,Not eligible - Less than 30 students
24111,Brewster,3293,Brewster Elementary School,PK-5,5,Elementary,494,475,96.15%,Challenging School
24111,Brewster,2800,Brewster High School,9-12,12,High,243,224,92.18%,Challenging School
24111,Brewster,4223,Brewster Middle School,6-8,8,Middle,206,192,93.20%,Challenging School
9075,Bridgeport,1900,Bridgeport Aurora High School,9-12,12,High,16,15,93.75%,Not eligible - Less than 30 students
9075,Bridgeport,2562,Bridgeport Elementary,PK-5,5,Elementary,372,345,92.74%,Challenging School
9075,Bridgeport,2788,Bridgeport High School,9-12,12,High,231,195,84.42%,Challenging School
9075,Bridgeport,4213,Bridgeport Middle School,6-8,8,Middle,245,224,91.43%,Challenging School
16046,Brinnon,2836,Brinnon Elementary,K-8,8,Middle,57,47,82.46%,Challenging School
29100,Burlington-Edison,3603,Allen Elementary,K-8,8,Middle,470,371,78.94%,Challenging School
29100,Burlington-Edison,4412,Bay View Elementary,K-8,8,Middle,536,186,34.70%,Not eligible - Poverty below threshold
29100,Burlington-Edison,1650,BECC,PK-PK,PK,Elementary,38,25,65.79%,Not eligible - Poverty below threshold
29100,Burlington-Edison,2362,Burlington Edison High School,9-12,12,High,"1,100",458,41.64%,Not eligible - Poverty below threshold
29100,Burlington-Edison,1928,Burlington-Edison Alternative School,9-12,12,High,60,42,70.00%,Challenging School
29100,Burlington-Edison,2379,Edison Elementary - Burlington/Edison,K-8,8,Middle,465,120,25.81%,Not eligible - Poverty below threshold
29100,Burlington-Edison,3251,Lucille Umbarger Elementary,1-8,8,Middle,695,473,68.06%,Challenging School
29100,Burlington-Edison,2946,West View Elementary,K-6,6,Elementary,385,249,64.68%,Not eligible - Poverty below threshold
6117,Camas,4567,Camas High School,9-12,12,High,"2,182",282,12.92%,Not eligible - Poverty below threshold
6117,Camas,4182,Dorothy Fox,K-5,5,Elementary,471,48,10.19%,Not eligible - Poverty below threshold
6117,Camas,5158,Grass Valley Elementary,K-5,5,Elementary,580,75,12.93%,Not eligible - Poverty below threshold
6117,Camas,5104,Hayes Freedom High School,9-12,12,High,155,62,40.00%,Not eligible - Poverty below threshold
6117,Camas,2725,Helen Baller Elem,K-5,5,Elementary,608,105,17.27%,Not eligible - Poverty below threshold
6117,Camas,3474,Lacamas Heights Elementary,K-5,5,Elementary,357,72,20.17%,Not eligible - Poverty below threshold
6117,Camas,5054,Liberty Middle School,6-8,8,Middle,786,152,19.34%,Not eligible - Poverty below threshold
6117,Camas,5055,Papermaker Preschool,PK-PK,PK,Elementary,58,7,12.07%,Not eligible - Poverty below threshold
6117,Camas,4563,Prune Hill Elem,K-5,5,Elementary,517,64,12.38%,Not eligible - Poverty below threshold
6117,Camas,4508,Skyridge Middle School,6-8,8,Middle,903,99,10.96%,Not eligible - Poverty below threshold
6117,Camas,5309,Woodburn Elementary,K-5,5,Elementary,481,131,27.23%,Not eligible - Poverty below threshold
5401,Cape Flattery,1787,Cape Flattery Preschool,PK-PK,PK,Elementary,11,0,0.00%,Not eligible - Poverty below threshold
5401,Cape Flattery,3422,Clallam Bay High & Elementary,K-12,12,High,131,89,67.94%,Challenging School
5401,Cape Flattery,2594,Neah Bay Elementary School,K-5,5,Elementary,181,152,83.98%,Challenging School
5401,Cape Flattery,3145,Neah Bay Junior/ Senior High School,6-12,12,High,177,124,70.06%,Challenging School
27019,Carbonado,2466,Carbonado Historical School 19,PK-8,8,Middle,175,50,28.57%,Not eligible - Poverty below threshold
4228,Cascade,4566,Beaver Valley School,K-4,4,Elementary,32,5,15.63%,Not eligible - Poverty below threshold
4228,Cascade,3564,Cascade High School,9-12,12,High,434,181,41.71%,Not eligible - Poverty below threshold
4228,Cascade,5418,Cascade Home-Link,K-8,8,Middle,19,2,10.53%,Not eligible - Poverty below threshold
4228,Cascade,4403,Icicle River Middle School,6-8,8,Middle,287,136,47.39%,Not eligible - Poverty below threshold
4228,Cascade,2827,Osborn Elementary,3-5,5,Elementary,291,145,49.83%,Not eligible - Poverty below threshold
4228,Cascade,2760,Peshastin Dryden Elementary,PK-2,2,Elementary,246,117,47.56%,Not eligible - Poverty below threshold
4222,Cashmere,3268,CASHMERE HIGH SCHOOL,9-12,12,High,495,208,42.02%,Not eligible - Poverty below threshold
4222,Cashmere,2315,CASHMERE MIDDLE SCHOOL,5-8,8,Middle,480,221,46.04%,Not eligible - Poverty below threshold
4222,Cashmere,2787,VALE ELEMENTARY SCHOOL,PK-4,4,Elementary,636,312,49.06%,Not eligible - Poverty below threshold
8401,Castle Rock,2762,Castle Rock Elementary,PK-5,5,Elementary,616,328,53.25%,Not eligible - Poverty below threshold
8401,Castle Rock,2281,Castle Rock High School,9-12,12,High,414,195,47.10%,Not eligible - Poverty below threshold
8401,Castle Rock,3969,Castle Rock Middle School,6-8,8,Middle,254,135,53.15%,Not eligible - Poverty below threshold
20215,Centerville,2251,Centerville Elementary,K-8,8,Middle,82,28,34.15%,Not eligible - Poverty below threshold
18401,Central Kitsap,3936,Alternative High School,10-12,12,High,232,82,35.34%,Not eligible - Poverty below threshold
18401,Central Kitsap,2994,Brownsville Elementary,K-6,6,Elementary,432,105,24.31%,Not eligible - Poverty below threshold
18401,Central Kitsap,2615,Central Kitsap High School,9-12,12,High,"1,488",296,19.89%,Not eligible - Poverty below threshold
18401,Central Kitsap,3237,Central Kitsap Middle School,7-8,8,Middle,713,194,27.21%,Not eligible - Poverty below threshold
18401,Central Kitsap,4016,Clear Creek Elementary School,PK-6,6,Elementary,494,235,47.57%,Not eligible - Poverty below threshold
18401,Central Kitsap,4014,Cottonwood Elementary School,PK-6,6,Elementary,305,113,37.05%,Not eligible - Poverty below threshold
18401,Central Kitsap,4341,Cougar Valley Elementary,K-6,6,Elementary,468,141,30.13%,Not eligible - Poverty below threshold
